Year,type,Category,Dollars,Category_name
1998,exp,402,215,Aging
1998,exp,406,75,Agriculture
1998,exp,416,427,Central Management
1998,exp,418,1300,Children And Family Services
1998,exp,420,465,Commerce And Economic Opportunity
1998,exp,422,199,Natural Resources
1998,exp,426,987,Corrections
1998,exp,427,181,Employment Security
1998,exp,444,3934,Human Services
1998,exp,478,113,Family Services Net Medicaid
1998,exp,482,161,Public Health
1998,exp,492,440,Revenue
1998,exp,494,1978,Transportation
1998,exp,532,310,Environmental Protect Agency
1998,exp,557,367,Il State Toll Highway Auth
1998,exp,901,559,State Pension Contribution
1998,exp,904,730,State Employee Healthcare
1998,exp,910,60,Legislative
1998,exp,920,267,Judicial
1998,exp,930,416,Elected Officers
1998,exp,941,437,Public Safety
1998,exp,944,154,Bus & Profession Regulation
1998,exp,945,5398,Medicaid
1998,exp,946,257,Capital Improvement
1998,exp,948,604,Other Departments
1998,exp,949,94,Other Boards & Commissions
1998,exp,959,5072,K-12 Education
1998,exp,960,2082,University Education
1998,exp,903,484.53383483,Debt Service
1998,exp,970,3476.47340622,Local Govt Transfers
1999,exp,402,236,Aging
1999,exp,406,90,Agriculture
1999,exp,416,474,Central Management
1999,exp,418,1346,Children And Family Services
1999,exp,420,526,Commerce And Economic Opportunity
1999,exp,422,237,Natural Resources
1999,exp,426,1104,Corrections
1999,exp,427,184,Employment Security
1999,exp,444,4129,Human Services
1999,exp,478,120,Family Services Net Medicaid
1999,exp,482,169,Public Health
1999,exp,492,479,Revenue
1999,exp,494,1895,Transportation
1999,exp,532,320,Environmental Protect Agency
1999,exp,557,461,Il State Toll Highway Auth
1999,exp,901,662,State Pension Contribution
1999,exp,904,779,State Employee Healthcare
1999,exp,910,63,Legislative
1999,exp,920,295,Judicial
1999,exp,930,449,Elected Officers
1999,exp,941,465,Public Safety
1999,exp,944,167,Bus & Profession Regulation
1999,exp,945,5767,Medicaid
1999,exp,946,401,Capital Improvement
1999,exp,948,602,Other Departments
1999,exp,949,107,Other Boards & Commissions
1999,exp,959,5592,K-12 Education
1999,exp,960,2186,University Education
1999,exp,903,507.52762319,Debt Service
1999,exp,970,4031.5164429099996,Local Govt Transfers
2000,exp,402,261,Aging
2000,exp,406,105,Agriculture
2000,exp,416,488,Central Management
2000,exp,418,1359,Children And Family Services
2000,exp,420,707,Commerce And Economic Opportunity
2000,exp,422,278,Natural Resources
2000,exp,426,1190,Corrections
2000,exp,427,189,Employment Security
2000,exp,444,4238,Human Services
2000,exp,478,141,Family Services Net Medicaid
2000,exp,482,185,Public Health
2000,exp,492,500,Revenue
2000,exp,494,2480,Transportation
2000,exp,532,359,Environmental Protect Agency
2000,exp,557,435,Il State Toll Highway Auth
2000,exp,901,729,State Pension Contribution
2000,exp,904,927,State Employee Healthcare
2000,exp,910,69,Legislative
2000,exp,920,331,Judicial
2000,exp,930,498,Elected Officers
2000,exp,941,489,Public Safety
2000,exp,944,140,Bus & Profession Regulation
2000,exp,945,6442,Medicaid
2000,exp,946,829,Capital Improvement
2000,exp,948,620,Other Departments
2000,exp,949,132,Other Boards & Commissions
2000,exp,959,6029,K-12 Education
2000,exp,960,2282,University Education
2000,exp,903,543.84052911,Debt Service
2000,exp,970,4366.14101383,Local Govt Transfers
2001,exp,402,284,Aging
2001,exp,406,117,Agriculture
2001,exp,416,495,Central Management
2001,exp,418,1375,Children And Family Services
2001,exp,420,765,Commerce And Economic Opportunity
2001,exp,422,319,Natural Resources
2001,exp,426,1271,Corrections
2001,exp,427,292,Employment Security
2001,exp,444,4559,Human Services
2001,exp,478,140,Family Services Net Medicaid
2001,exp,482,227,Public Health
2001,exp,492,856,Revenue
2001,exp,494,2718,Transportation
2001,exp,532,393,Environmental Protect Agency
2001,exp,557,346,Il State Toll Highway Auth
2001,exp,901,812,State Pension Contribution
2001,exp,904,1000,State Employee Healthcare
2001,exp,910,74,Legislative
2001,exp,920,342,Judicial
2001,exp,930,569,Elected Officers
2001,exp,941,513,Public Safety
2001,exp,944,152,Bus & Profession Regulation
2001,exp,945,7187,Medicaid
2001,exp,946,891,Capital Improvement
2001,exp,948,637,Other Departments
2001,exp,949,141,Other Boards & Commissions
2001,exp,959,6394,K-12 Education
2001,exp,960,2427,University Education
2001,exp,903,590.04423966,Debt Service
2001,exp,970,4471.93355919,Local Govt Transfers
2002,exp,402,298,Aging
2002,exp,406,118,Agriculture
2002,exp,416,491,Central Management
2002,exp,418,1363,Children And Family Services
2002,exp,420,813,Commerce And Economic Opportunity
2002,exp,422,360,Natural Resources
2002,exp,426,1332,Corrections
2002,exp,427,350,Employment Security
2002,exp,444,4574,Human Services
2002,exp,478,147,Family Services Net Medicaid
2002,exp,482,271,Public Health
2002,exp,492,718,Revenue
2002,exp,494,3224,Transportation
2002,exp,532,471,Environmental Protect Agency
2002,exp,557,393,Il State Toll Highway Auth
2002,exp,901,901,State Pension Contribution
2002,exp,904,1062,State Employee Healthcare
2002,exp,910,80,Legislative
2002,exp,920,374,Judicial
2002,exp,930,592,Elected Officers
2002,exp,941,512,Public Safety
2002,exp,944,154,Bus & Profession Regulation
2002,exp,945,7292,Medicaid
2002,exp,946,1150,Capital Improvement
2002,exp,948,633,Other Departments
2002,exp,949,145,Other Boards & Commissions
2002,exp,959,6634,K-12 Education
2002,exp,960,2675,University Education
2002,exp,903,640.25704888,Debt Service
2002,exp,970,4300.10066935,Local Govt Transfers
2003,exp,402,304,Aging
2003,exp,406,93,Agriculture
2003,exp,416,499,Central Management
2003,exp,418,1301,Children And Family Services
2003,exp,420,831,Commerce And Economic Opportunity
2003,exp,422,324,Natural Resources
2003,exp,426,1245,Corrections
2003,exp,427,388,Employment Security
2003,exp,444,4483,Human Services
2003,exp,478,310,Family Services Net Medicaid
2003,exp,482,247,Public Health
2003,exp,492,573,Revenue
2003,exp,494,3296,Transportation
2003,exp,532,468,Environmental Protect Agency
2003,exp,557,361,Il State Toll Highway Auth
2003,exp,901,1031,State Pension Contribution
2003,exp,904,1315,State Employee Healthcare
2003,exp,910,73,Legislative
2003,exp,920,368,Judicial
2003,exp,930,574,Elected Officers
